"County, State",Cost Per Meal
"Woodford County, Illinois",$4.19 
"Adams County, Indiana",$3.16 
"Allen County, Indiana",$3.41 
"Bartholomew County, Indiana",$3.37 
"Benton County, Indiana",$3.43 
"Blackford County, Indiana",$3.21 
"Boone County, Indiana",$3.67 
"Brown County, Indiana",$3.37 
"Carroll County, Indiana",$3.71 
"Cass County, Indiana",$2.98 
"Clark County, Indiana",$3.45 
"Clay County, Indiana",$3.28 
"Clinton County, Indiana",$2.95 
"Crawford County, Indiana",$3.20 
"Daviess County, Indiana",$3.11 
"Dearborn County, Indiana",$3.38 
"Decatur County, Indiana",$3.23 
"DeKalb County, Indiana",$3.36 
"Delaware County, Indiana",$3.24 
"Dubois County, Indiana",$3.12 
"Elkhart County, Indiana",$3.35 
"Fayette County, Indiana",$3.09 
"Floyd County, Indiana",$3.61 
"Fountain County, Indiana",$3.38 
"Franklin County, Indiana",$3.49 
"Fulton County, Indiana",$3.25 
"Gibson County, Indiana",$3.08 
"Grant County, Indiana",$3.21 
"Greene County, Indiana",$2.96 
"Hamilton County, Indiana",$3.89 
"Hancock County, Indiana",$3.50 
"Harrison County, Indiana",$3.20 
"Hendricks County, Indiana",$3.50 
"Henry County, Indiana",$3.41 
"Howard County, Indiana",$3.27 
"Huntington County, Indiana",$3.22 
"Jackson County, Indiana",$3.12 
"Jasper County, Indiana",$3.66 
"Jay County, Indiana",$2.99 
"Jefferson County, Indiana",$3.31 
"Jennings County, Indiana",$3.05 
"Johnson County, Indiana",$3.43 
"Knox County, Indiana",$3.23 
"Kosciusko County, Indiana",$3.40 
"LaGrange County, Indiana",$4.16 
"Lake County, Indiana",$3.58 
"LaPorte County, Indiana",$3.48 
"Lawrence County, Indiana",$3.10 
"Madison County, Indiana",$3.28 
"Marion County, Indiana",$3.38 
"Marshall County, Indiana",$3.33 
"Martin County, Indiana",$3.11 
"Miami County, Indiana",$3.40 
"Monroe County, Indiana",$3.69 
"Montgomery County, Indiana",$3.27 
"Morgan County, Indiana",$3.33 
"Newton County, Indiana",$3.66 
"Noble County, Indiana",$3.18 
"Ohio County, Indiana",$3.38 
"Orange County, Indiana",$3.10 
"Owen County, Indiana",$3.67 
"Parke County, Indiana",$3.28 
"Perry County, Indiana",$3.58 
"Pike County, Indiana",$3.11 
"Porter County, Indiana",$3.67 
"Posey County, Indiana",$3.59 
"Pulaski County, Indiana",$3.36 
"Putnam County, Indiana",$3.36 
"Randolph County, Indiana",$3.09 
"Ripley County, Indiana",$3.09 
"Rush County, Indiana",$3.32 
